sex,workclass,education,marital.status,occupation,race,relationship,capital.gain,capital.loss,hours.per.week,age,income
 Male, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, White, Husband,0,0,38,53, <=50K
 Female, Private, Masters, Divorced, Exec-managerial, White, Unmarried,0,0,40,44, <=50K
 Male, State-gov, Assoc-voc, Married-civ-spouse, Craft-repair, White, Husband,0,0,40,41, <=50K
 Male, Private, Assoc-voc, Never-married, Prof-specialty, White, Not-in-family,0,0,43,29, <=50K
 Female, Private, Some-college, Married-civ-spouse, Exec-managerial, Other, Wife,0,0,40,25, <=50K
 Female, Private, HS-grad, Never-married, Other-service, White, Own-child,0,0,30,18, <=50K
 Female, Private, Prof-school, Married-civ-spouse, Prof-specialty, White, Wife,0,1902,60,47, >50K
 Male, Federal-gov, Bachelors, Divorced, Exec-managerial, White, Not-in-family,0,0,55,50, >50K
 Male, Self-emp-inc, HS-grad, Divorced, Exec-managerial, White, Not-in-family,0,0,60,47, <=50K
 Male, Private, Some-college, Married-civ-spouse, Tech-support, White, Husband,0,0,40,43, >50K
 Male, Private, 5th-6th, Married-civ-spouse, Machine-op-inspct, White, Husband,0,0,40,46, <=50K
 Male, Private, Assoc-voc, Married-civ-spouse, Other-service, White, Husband,0,0,40,35, <=50K
 Male, Private, HS-grad, Married-civ-spouse, Adm-clerical, White, Husband,0,0,48,41, <=50K
 Male, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, White, Husband,5013,0,40,30, <=50K
 Male, Private, Bachelors, Married-civ-spouse, Sales, White, Husband,2407,0,40,30, <=50K
 Male, Private, 7th-8th, Married-spouse-absent, Prof-specialty, White, Not-in-family,0,0,40,32, <=50K
 Male, Private, HS-grad, Married-civ-spouse, Transport-moving, White, Husband,0,0,40,48, <=50K
 Male, Private, Doctorate, Married-civ-spouse, Prof-specialty, White, Husband,0,0,45,42, >50K
 Male, Private, Some-college, Divorced, Tech-support, White, Not-in-family,0,0,58,29, <=50K
 Male, Private, HS-grad, Married-civ-spouse, Craft-repair, White, Husband,0,0,40,36, <=50K
 Female, Private, Some-college, Divorced, Adm-clerical, White, Not-in-family,0,0,40,28, <=50K
 Female, Private, HS-grad, Married-civ-spouse, Adm-clerical, White, Wife,0,0,40,53, >50K
 Male, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, White, Husband,0,0,50,49, >50K
 Male, Private, Some-college, Never-married, Prof-specialty, White, Own-child,0,0,40,25, <=50K
 Male, Private, Some-college, Never-married, Prof-specialty, White, Own-child,0,0,32,19, <=50K
 Female, Private, Bachelors, Separated, Sales, Black, Own-child,0,0,40,31, <=50K
 Male, Self-emp-not-inc, Bachelors, Married-civ-spouse, Sales, White, Husband,0,0,70,29, >50K
 Male, Private, Some-college, Never-married, Machine-op-inspct, White, Not-in-family,0,0,40,23, <=50K
 Male, Private, Some-college, Married-civ-spouse, Prof-specialty, White, Other-relative,0,0,20,79, <=50K
 Male, Private, HS-grad, Never-married, Other-service, White, Own-child,0,0,40,27, <=50K
 Male, Private, Assoc-acdm, Married-civ-spouse, Adm-clerical, White, Husband,0,0,40,40, <=50K
 Male, Private, 10th, Married-civ-spouse, Prof-specialty, White, Husband,0,0,2,67, <=50K
 Female, Private, 11th, Never-married, Other-service, White, Own-child,0,0,22,18, <=50K
 Male, Local-gov, 7th-8th, Married-civ-spouse, Farming-fishing, White, Husband,0,0,40,31, <=50K
 Male, Private, HS-grad, Never-married, Sales, White, Not-in-family,0,0,30,18, <=50K
 Male, Private, Bachelors, Married-civ-spouse, Other-service, White, Husband,0,0,40,52, <=50K
 Female, Private, HS-grad, Married-civ-spouse, Other-service, White, Wife,0,0,40,46, <=50K
 Male, Private, HS-grad, Married-civ-spouse, Sales, White, Husband,0,0,48,59, <=50K
 Female, Private, HS-grad, Divorced, Craft-repair, White, Not-in-family,14344,0,40,44, >50K
 Female, Private, HS-grad, Divorced, Sales, White, Own-child,0,0,35,53, <=50K
 Male, Local-gov, HS-grad, Married-civ-spouse, Protective-serv, White, Husband,0,0,40,49, >50K
 Male, Private, Masters, Married-civ-spouse, Prof-specialty, White, Husband,0,0,50,33, <=50K
 Male, Private, 9th, Never-married, Sales, White, Not-in-family,0,0,40,30, <=50K
 Female, Federal-gov, Doctorate, Never-married, Prof-specialty, White, Not-in-family,0,0,50,43, >50K
 Male, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, White, Husband,0,0,40,57, <=50K
 Female, Private, Some-college, Divorced, Craft-repair, White, Unmarried,0,0,40,37, <=50K
 Female, Private, Some-college, Divorced, Machine-op-inspct, Black, Unmarried,0,0,25,28, <=50K
 Female, Private, HS-grad, Married-civ-spouse, Sales, Asian-Pac-Islander, Wife,0,1573,35,30, <=50K
 Male, Local-gov, Bachelors, Married-civ-spouse, Protective-serv, White, Husband,0,0,40,34, >50K
 Male, Local-gov, Some-college, Never-married, Handlers-cleaners, White, Not-in-family,0,0,50,29, <=50K
 Male, Self-emp-not-inc, Doctorate, Married-civ-spouse, Prof-specialty, White, Husband,0,1902,60,48, >50K
 Male, Private, Some-college, Married-civ-spouse, Sales, White, Husband,0,0,48,37, >50K
 Female, Private, Assoc-acdm, Divorced, Exec-managerial, White, Unmarried,0,0,40,48, <=50K
 Male, Federal-gov, HS-grad, Never-married, Other-service, Black, Own-child,0,0,40,32, <=50K
 Male, Private, Masters, Married-civ-spouse, Exec-managerial, White, Husband,0,0,40,76, >50K
 Male, Private, Bachelors, Married-civ-spouse, Exec-managerial, White, Husband,15024,0,60,44, >50K
 Female, Self-emp-not-inc, Masters, Never-married, Prof-specialty, White, Not-in-family,0,0,50,47, <=50K
 Female, Private, Some-college, Never-married, Tech-support, White, Own-child,0,0,40,20, <=50K
 Male, Private, HS-grad, Never-married, Craft-repair, White, Not-in-family,0,0,40,29, <=50K
 Male, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, White, Husband,7688,0,40,32, >50K
 Female, Private, 10th, Never-married, Prof-specialty, White, Own-child,34095,0,32,17, <=50K
 Male, Private, 11th, Never-married, Handlers-cleaners, White, Own-child,0,0,40,30, <=50K
 Female, Local-gov, HS-grad, Never-married, Adm-clerical, White, Not-in-family,0,0,40,31, <=50K
 Male, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, White, Husband,0,0,40,42, <=50K
 Male, Private, Bachelors, Never-married, Sales, White, Other-relative,0,0,40,24, <=50K
 Male, Private, Prof-school, Married-civ-spouse, Prof-specialty, White, Husband,0,0,40,38, >50K
 Male, Self-emp-not-inc, HS-grad, Married-civ-spouse, Other-service, White, Husband,0,1887,50,56, >50K
 Female, Private, Some-college, Married-civ-spouse, Sales, White, Wife,4064,0,25,28, <=50K
 Female, Private, HS-grad, Never-married, Machine-op-inspct, White, Own-child,0,0,40,36, <=50K
 Male, Private, 9th, Married-civ-spouse, Handlers-cleaners, White, Husband,0,0,50,53, <=50K
 Male, Self-emp-inc, Some-college, Married-civ-spouse, Sales, White, Husband,0,0,50,56, <=50K
 Male, Local-gov, Assoc-voc, Married-civ-spouse, Craft-repair, Black, Husband,0,0,40,49, >50K
 Male, Private, Some-college, Married-civ-spouse, Sales, White, Husband,0,0,56,55, <=50K
 Male, Private, HS-grad, Never-married, Craft-repair, White, Not-in-family,0,0,41,22, <=50K
 Female, Private, Some-college, Never-married, Other-service, White, Own-child,0,0,40,21, <=50K
 Male, Private, Bachelors, Married-civ-spouse, Exec-managerial, White, Husband,0,0,60,40, <=50K
 Male, Private, Bachelors, Never-married, Exec-managerial, Black, Own-child,0,0,40,30, <=50K
 Male, State-gov, Bachelors, Married-civ-spouse, Prof-specialty, White, Husband,0,0,50,29, >50K
 Male, Private, Some-college, Never-married, Other-service, Black, Own-child,0,0,35,19, <=50K
 Female, Private, Bachelors, Married-civ-spouse, Exec-managerial, White, Wife,0,0,40,47, >50K
 Female, Private, Some-college, Never-married, Adm-clerical, White, Own-child,0,1719,28,20, <=50K
 Male, Private, Assoc-acdm, Married-civ-spouse, Adm-clerical, White, Husband,0,0,40,31, >50K
 Male, Private, HS-grad, Married-civ-spouse, Prof-specialty, White, Husband,0,0,40,35, <=50K
 Male, Private, Some-college, Divorced, Craft-repair, White, Not-in-family,0,0,40,39, <=50K
 Female, Private, Assoc-acdm, Never-married, Sales, White, Not-in-family,0,0,60,28, <=50K
 Female, Private, HS-grad, Never-married, Other-service, White, Not-in-family,0,1762,40,24, <=50K
 Male, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, White, Husband,4386,0,35,38, <=50K
 Male, Private, Bachelors, Married-civ-spouse, Sales, White, Husband,0,0,50,37, <=50K
 Female, Private, Assoc-acdm, Divorced, Tech-support, Black, Not-in-family,0,0,36,46, <=50K
 Male, Federal-gov, Masters, Married-civ-spouse, Prof-specialty, White, Husband,0,0,40,38, >50K
 Male, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, White, Husband,0,0,60,43, <=50K
 Female, Private, Assoc-voc, Married-civ-spouse, Adm-clerical, White, Wife,0,0,35,27, <=50K
 Male, Private, Some-college, Never-married, Sales, White, Own-child,0,0,20,20, <=50K
 Male, Private, Some-college, Married-civ-spouse, Craft-repair, Asian-Pac-Islander, Husband,0,0,40,49, >50K
 Male, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, White, Husband,0,0,40,61, <=50K
 Female, Private, Some-college, Never-married, Sales, White, Own-child,0,0,40,27, <=50K
 Male, Private, Some-college, Never-married, Other-service, White, Own-child,0,0,30,19, <=50K
 Female, Private, Assoc-voc, Never-married, Prof-specialty, White, Not-in-family,0,1564,40,45, >50K
 Male, Private, Some-college, Never-married, Tech-support, White, Other-relative,0,0,40,70, <=50K
 Female, Private, HS-grad, Never-married, Transport-moving, Black, Unmarried,0,0,30,31, <=50K
 Male, Private, Some-college, Married-civ-spouse, Other-service, White, Husband,0,0,24,22, <=50K
 Female, Private, HS-grad, Widowed, Other-service, White, Unmarried,0,0,24,36, <=50K
 Male, Private, 11th, Married-civ-spouse, Craft-repair, White, Husband,0,2179,40,64, <=50K
 Female, Private, Some-college, Divorced, Prof-specialty, White, Not-in-family,0,0,40,43, <=50K
 Female, Local-gov, Some-college, Divorced, Adm-clerical, White, Unmarried,0,0,38,47, <=50K
 Female, Private, HS-grad, Never-married, Adm-clerical, White, Not-in-family,0,0,40,34, <=50K
 Female, Private, Bachelors, Never-married, Exec-managerial, Asian-Pac-Islander, Other-relative,0,0,40,33, <=50K
 Male, Private, HS-grad, Never-married, Craft-repair, White, Own-child,0,0,35,21, <=50K
 Male, Private, HS-grad, Divorced, Prof-specialty, White, Not-in-family,0,0,45,52, >50K
 Male, Private, HS-grad, Married-civ-spouse, Craft-repair, White, Husband,0,0,46,48, <=50K
 Male, Private, Bachelors, Never-married, Handlers-cleaners, White, Not-in-family,0,0,40,23, <=50K
 Male, Self-emp-not-inc, Some-college, Separated, Sales, Black, Unmarried,0,1816,2,71, <=50K
 Male, Private, HS-grad, Divorced, Craft-repair, White, Not-in-family,0,0,60,29, <=50K
 Male, Private, Bachelors, Separated, Other-service, Black, Other-relative,0,0,50,42, <=50K
 Female, Private, 1st-4th, Divorced, Prof-specialty, White, Not-in-family,0,0,20,68, <=50K
 Female, Private, HS-grad, Never-married, Other-service, White, Unmarried,0,0,40,25, <=50K
 Female, Self-emp-inc, Masters, Divorced, Exec-managerial, Asian-Pac-Islander, Unmarried,0,0,40,44, <=50K
 Female, Private, HS-grad, Never-married, Exec-managerial, Asian-Pac-Islander, Not-in-family,0,0,40,28, <=50K
 Male, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, White, Husband,0,0,40,45, >50K
 Female, Private, Some-college, Divorced, Other-service, White, Unmarried,0,0,40,36, <=50K
 Male, Federal-gov, Assoc-acdm, Never-married, Exec-managerial, White, Not-in-family,0,0,42,39, <=50K
 Male, State-gov, Masters, Widowed, Protective-serv, White, Unmarried,0,0,40,46, <=50K
 Male, Private, 11th, Never-married, Handlers-cleaners, White, Own-child,0,0,16,18, <=50K
 Female, Local-gov, Assoc-voc, Widowed, Prof-specialty, White, Not-in-family,0,0,20,66, <=50K
 Male, Private, HS-grad, Never-married, Other-service, White, Not-in-family,0,1980,40,27, <=50K
 Male, State-gov, HS-grad, Married-civ-spouse, Protective-serv, White, Husband,0,0,40,28, <=50K
 Male, Private, Some-college, Married-civ-spouse, Sales, White, Husband,0,1977,40,51, >50K
 Male, Private, Bachelors, Never-married, Craft-repair, White, Not-in-family,0,0,50,27, <=50K
 Male, State-gov, Bachelors, Married-civ-spouse, Prof-specialty, White, Husband,0,0,40,28, >50K
 Female, Private, HS-grad, Married-spouse-absent, Sales, White, Unmarried,0,0,25,27, <=50K
 Male, Private, HS-grad, Never-married, Craft-repair, Black, Own-child,0,0,40,21, <=50K
 Male, Private, HS-grad, Never-married, Handlers-cleaners, Black, Not-in-family,0,0,40,34, <=50K
 Male, Private, HS-grad, Never-married, Other-service, White, Own-child,0,0,12,18, <=50K
 Male, Private, Bachelors, Married-civ-spouse, Prof-specialty, White, Husband,0,0,65,33, <=50K
 Male, Local-gov, Some-college, Married-civ-spouse, Exec-managerial, Black, Husband,0,0,38,44, >50K
 Female, Private, Some-college, Divorced, Adm-clerical, White, Not-in-family,0,0,40,43, <=50K
 Male, Private, Some-college, Never-married, Craft-repair, Black, Not-in-family,0,0,45,30, <=50K
 Male, Private, 7th-8th, Married-civ-spouse, Machine-op-inspct, White, Husband,0,0,40,40, >50K
 Male, Federal-gov, Some-college, Married-civ-spouse, Adm-clerical, White, Husband,0,0,42,37, >50K
 Male, Private, HS-grad, Married-civ-spouse, Adm-clerical, Black, Husband,0,0,40,34, <=50K
 Female, Self-emp-not-inc, Bachelors, Divorced, Exec-managerial, White, Not-in-family,0,0,40,41, <=50K
 Female, Private, Bachelors, Divorced, Prof-specialty, White, Not-in-family,0,0,50,53, <=50K
 Female, Private, Masters, Married-civ-spouse, Prof-specialty, White, Wife,0,0,50,31, <=50K
 Male, State-gov, Doctorate, Married-civ-spouse, Prof-specialty, White, Husband,0,0,1,58, >50K
 Female, Private, Some-college, Divorced, Machine-op-inspct, Black, Not-in-family,0,0,28,38, <=50K
 Male, Private, Some-college, Married-civ-spouse, Machine-op-inspct, White, Husband,0,0,40,24, <=50K
 Male, Local-gov, Bachelors, Married-civ-spouse, Craft-repair, Black, Husband,0,0,40,41, <=50K
 Male, Private, Some-college, Married-civ-spouse, Tech-support, White, Husband,0,0,45,47, <=50K
 Male, Federal-gov, Bachelors, Married-civ-spouse, Tech-support, White, Husband,0,0,24,41, <=50K
 Male, Private, 5th-6th, Married-civ-spouse, Transport-moving, White, Other-relative,0,0,40,23, <=50K
 Male, Private, Some-college, Divorced, Craft-repair, White, Not-in-family,0,0,40,36, <=50K
 Female, Federal-gov, Masters, Never-married, Exec-managerial, White, Not-in-family,14084,0,55,40, >50K
 Male, Private, Masters, Married-civ-spouse, Prof-specialty, White, Other-relative,7298,0,40,35, >50K
 Male, Self-emp-not-inc, HS-grad, Never-married, Sales, White, Not-in-family,0,0,40,24, <=50K
 Female, Private, Masters, Never-married, Prof-specialty, White, Not-in-family,0,1876,40,26, <=50K
 Male, Private, HS-grad, Never-married, Prof-specialty, White, Own-child,0,0,40,19, <=50K
 Male, Private, Bachelors, Married-civ-spouse, Exec-managerial, White, Husband,0,0,50,51, >50K
 Female, Local-gov, Some-college, Never-married, Prof-specialty, White, Not-in-family,0,1340,40,42, <=50K
 Female, State-gov, HS-grad, Divorced, Adm-clerical, White, Unmarried,0,0,35,37, <=50K
 Female, Private, 11th, Never-married, Sales, White, Own-child,0,0,40,18, <=50K
 Male, Private, Bachelors, Married-civ-spouse, Other-service, Black, Husband,7298,0,36,36, >50K
 Male, Private, HS-grad, Divorced, Craft-repair, White, Not-in-family,0,0,60,35, <=50K
 Female, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, White, Wife,15024,0,35,58, >50K
 Female, Private, 11th, Never-married, Sales, White, Own-child,0,0,12,17, <=50K
 Male, Local-gov, HS-grad, Married-civ-spouse, Transport-moving, Black, Husband,0,0,40,44, <=50K
 Male, Private, HS-grad, Married-civ-spouse, Craft-repair, White, Husband,0,0,40,37, >50K
 Female, Private, Some-college, Never-married, Sales, Amer-Indian-Eskimo, Not-in-family,0,0,40,35, <=50K
 Male, Private, HS-grad, Married-civ-spouse, Craft-repair, Asian-Pac-Islander, Husband,0,0,40,60, <=50K
 Male, Self-emp-inc, 7th-8th, Married-civ-spouse, Machine-op-inspct, White, Husband,0,0,40,54, >50K
 Male, Private, Bachelors, Never-married, Exec-managerial, Black, Not-in-family,0,0,60,37, >50K
 Female, Private, Assoc-acdm, Divorced, Sales, White, Not-in-family,0,0,40,50, <=50K
 Male, Private, Bachelors, Married-civ-spouse, Sales, White, Husband,0,0,50,38, <=50K
 Male, Private, Bachelors, Married-civ-spouse, Prof-specialty, White, Husband,0,0,55,45, <=50K
 Male, Private, 10th, Never-married, Craft-repair, White, Not-in-family,0,0,40,25, <=50K
 Male, Private, Some-college, Married-civ-spouse, Handlers-cleaners, White, Husband,0,0,40,31, <=50K
 Male, Private, 1st-4th, Divorced, Prof-specialty, White, Not-in-family,0,0,40,64, <=50K
 Male, Private, HS-grad, Never-married, Other-service, Black, Not-in-family,0,2206,40,90, <=50K
 Male, Private, HS-grad, Married-civ-spouse, Adm-clerical, Black, Husband,0,0,20,54, <=50K
 Female, Local-gov, Preschool, Never-married, Machine-op-inspct, White, Not-in-family,0,0,35,53, <=50K
 Female, Private, HS-grad, Never-married, Sales, White, Own-child,0,0,40,18, <=50K
 Female, Private, 10th, Divorced, Prof-specialty, Amer-Indian-Eskimo, Not-in-family,0,0,10,60, <=50K
 Male, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, White, Husband,1409,0,50,66, <=50K
 Female, Private, Assoc-voc, Widowed, Adm-clerical, White, Not-in-family,0,0,20,75, <=50K
 Female, Private, HS-grad, Divorced, Adm-clerical, White, Not-in-family,0,0,40,65, <=50K
 Male, Private, 11th, Separated, Transport-moving, Black, Not-in-family,3674,0,40,35, <=50K
 Female, Private, HS-grad, Divorced, Sales, Black, Unmarried,0,0,38,41, <=50K
 Male, Private, Some-college, Never-married, Adm-clerical, White, Not-in-family,0,0,42,25, <=50K
 Female, Private, Some-college, Divorced, Craft-repair, Other, Other-relative,0,0,40,33, <=50K
 Male, Private, Prof-school, Never-married, Prof-specialty, White, Not-in-family,0,0,55,28, >50K
 Male, State-gov, HS-grad, Married-civ-spouse, Other-service, White, Husband,0,0,40,59, <=50K
 Female, State-gov, Some-college, Never-married, Adm-clerical, White, Not-in-family,0,0,38,40, <=50K
 Male, Private, Bachelors, Married-civ-spouse, Exec-managerial, White, Husband,0,0,50,41, >50K
 Male, Local-gov, Masters, Married-civ-spouse, Exec-managerial, White, Husband,0,0,70,38, >50K
 Male, Private, HS-grad, Never-married, Transport-moving, White, Own-child,0,0,40,23, <=50K
 Male, Private, Bachelors, Married-civ-spouse, Prof-specialty, White, Husband,0,0,40,40, >50K
 Female, Self-emp-not-inc, HS-grad, Married-civ-spouse, Other-service, White, Wife,0,0,20,41, <=50K
 Male, State-gov, Assoc-acdm, Married-civ-spouse, Protective-serv, White, Husband,0,0,50,24, <=50K
 Male, Private, Some-college, Never-married, Prof-specialty, White, Own-child,0,0,20,20, <=50K
 Male, Private, Some-college, Divorced, Craft-repair, White, Not-in-family,0,1741,40,38, <=50K
 Male, Private, HS-grad, Married-civ-spouse, Adm-clerical, White, Husband,0,0,35,56, <=50K
 Male, Private, HS-grad, Married-civ-spouse, Adm-clerical, White, Husband,0,0,45,58, >50K
 Female, Private, HS-grad, Never-married, Other-service, White, Not-in-family,0,0,34,32, <=50K
 Male, Private, Assoc-acdm, Married-civ-spouse, Tech-support, White, Husband,0,1977,60,40, >50K
 Male, Private, HS-grad, Married-civ-spouse, Adm-clerical, White, Husband,0,0,40,45, <=50K
 Female, Private, Prof-school, Married-civ-spouse, Prof-specialty, White, Wife,0,0,40,41, >50K
 Female, Private, Bachelors, Married-civ-spouse, Adm-clerical, Black, Wife,0,0,40,42, <=50K
 Female, Local-gov, 10th, Widowed, Other-service, Black, Unmarried,0,0,30,59, <=50K
 Male, Local-gov, Some-college, Never-married, Adm-clerical, White, Own-child,0,0,40,19, <=50K
 Male, Private, Some-college, Never-married, Transport-moving, White, Not-in-family,0,0,20,58, <=50K
 Male, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Asian-Pac-Islander, Husband,0,0,40,42, >50K
 Female, Private, HS-grad, Never-married, Other-service, White, Own-child,0,0,40,20, <=50K
 Female, Private, HS-grad, Separated, Other-service, White, Not-in-family,0,0,30,32, <=50K
 Female, Private, Assoc-voc, Widowed, Exec-managerial, White, Not-in-family,0,0,45,45, <=50K
 Male, Private, 7th-8th, Divorced, Craft-repair, White, Not-in-family,0,0,40,50, <=50K
 Female, Private, Bachelors, Divorced, Prof-specialty, White, Own-child,0,0,40,36, <=50K
 Male, Private, HS-grad, Married-civ-spouse, Sales, White, Husband,0,0,60,45, <=50K
 Male, Private, 11th, Never-married, Other-service, White, Own-child,0,0,12,17, <=50K
 Male, Private, Some-college, Married-civ-spouse, Sales, White, Husband,4064,0,40,59, <=50K
 Male, Private, 11th, Married-civ-spouse, Craft-repair, White, Husband,0,0,40,26, <=50K
 Male, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Asian-Pac-Islander, Husband,0,0,75,37, >50K
 Male, Private, Some-college, Never-married, Prof-specialty, White, Own-child,0,0,24,19, <=50K
 Male, Private, HS-grad, Married-civ-spouse, Exec-managerial, White, Husband,0,0,40,64, >50K
 Female, Private, Bachelors, Never-married, Prof-specialty, White, Not-in-family,0,0,45,33, <=50K
 Female, Private, HS-grad, Married-civ-spouse, Craft-repair, White, Wife,0,0,40,33, >50K
 Male, Private, HS-grad, Married-civ-spouse, Exec-managerial, White, Husband,0,0,40,61, >50K
 Male, Private, 9th, Never-married, Other-service, White, Own-child,1055,0,24,17, <=50K
 Male, Self-emp-not-inc, Masters, Married-civ-spouse, Farming-fishing, White, Husband,2407,0,98,50, <=50K
 Male, Local-gov, Masters, Never-married, Prof-specialty, White, Own-child,0,0,35,27, <=50K
 Female, Private, HS-grad, Divorced, Prof-specialty, White, Own-child,0,0,40,30, <=50K
 Male, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Black, Husband,0,0,40,43, <=50K
 Male, Private, Some-college, Married-civ-spouse, Craft-repair, White, Husband,7298,0,40,44, >50K
 Female, Private, Some-college, Never-married, Exec-managerial, White, Not-in-family,0,0,40,35, <=50K
 Female, Private, Some-college, Never-married, Tech-support, White, Own-child,0,0,40,25, <=50K
 Female, Private, Some-college, Married-civ-spouse, Machine-op-inspct, White, Wife,7298,0,48,24, >50K
 Female, Private, Bachelors, Never-married, Prof-specialty, White, Not-in-family,0,0,15,22, <=50K
 Male, Local-gov, Some-college, Married-civ-spouse, Craft-repair, White, Husband,5178,0,40,42, >50K
 Female, Private, Assoc-acdm, Divorced, Sales, Black, Unmarried,0,0,45,34, <=50K
